"name","value","x","y","width","height","index","vy","vx"
"长沙",907,808.5167515924572,360.64744433593916,164.9545391918634,164.9545391918634,0,-0.0007547161400691191,-0.03367473642036808
"株洲",501,830.1478984474711,553.9130130422776,122.5969004502153,122.5969004502153,1,7.204254150203552e-11,-0.005804929576067877
"湘潭",907,642.8225171493353,436.38533482508655,164.9545391918634,164.9545391918634,2,-0.014702971237269897,0.03788511164426784
"衡阳",1408,665.2910912437745,630.273888142119,205.52372125864207,205.52372125864207,3,-0.00009846147577085261,0.00542892892674014
"岳阳",908,778.8027908220388,188.18119148021879,165.04544828622207,165.04544828622207,4,0.0012038198777686152,0.00010219189824354531
"常德",1408,515.5590197498831,127.07162554453849,205.52372125864207,205.52372125864207,5,0.020756546644452988,0.0003724201432248357
"益阳",500,572.0225021564108,291.86620394472396,122.47448713915891,122.47448713915891,6,-0.003085920196857568,-0.001710801265412484
"郴州",500,761.2391534969735,795.0759147857049,122.47448713915891,122.47448713915891,7,-0.004143529142613572,0
"永州",500,533.6869882113656,796.7105794397594,122.47448713915891,122.47448713915891,8,-9.836467983535325e-11,-7.091056164796925e-14
"怀化",313,255.1338999209512,474.97434416528426,96.90201236300514,96.90201236300514,9,0,0.008917053447413408
"邵阳",1408,407.1353650740238,598.6555472196343,205.52372125864207,205.52372125864207,10,-0.0056051388805833675,-0.008917053447413548
"张家界",1000,316.19475803743734,126.87285043607535,173.20508075688772,173.20508075688772,11,0.007851780580299813,0.00037911328797720804
"娄底",500,489.16984805909556,433.8621923755282,122.47448713915891,122.47448713915891,12,0.00548738898307603,-0.00652703195756744
"湘西",500,209.90668385704262,275.5031802021022,122.47448713915891,122.47448713915891,13,-0.007667129962948029,0
